Isak;19-dec-15
Isatou;15-jan-15
IsIs;15-nov-15
Isola;07-jul-15
Israel;20-dec-15
Isse;19-jan-15
Ivan;24 May 2015
Ivar;31-jan-15
Izabel;30 Oct 2015
Izbelle;30 Oct 2015
Izza;30 Oct 2015
Jabril;25-jan-15
Jacinda;15-jun-15
Jack;02-jun-15
Jacqueline;15-nov-15
Jade;28-apr-15
Jake;25-jul-15
Jakob;25-jul-15
Jamal;08-nov-15
James;12 May 2015
Jamie;12 May 2015
Jan;11-jan-15
Jan-Robin;30 Oct 2015
Jana;11-jan-15
Jane;3 May 2015
Janeth;21-dec-15
Janice;07-jan-15
Janika;15-nov-15
Janina;6 Oct 2015
Janna;31 May 2015
Jannika;01-aug-15
Jannike;11-jan-15
Jarl;11 Oct 2015
Jasella;05-feb-15
Jasmin;26-jul-15
Jasmina;26-jul-15
Jasmine;26-jul-15
Jasminereala;09-apr-15
Jason;10-jun-15
Jax;20-jan-15
Jaxon-Lee;16-nov-15
Jazz;1 May 2015
Jeanette;29 May 2015
Jemima;07-feb-15
Jenetiv;31-dec-15
Jenna;06-nov-15
Jenni;6 Oct 2015
Jennie;6 Oct 2015
Jenniefer;6 Oct 2015
Jennifer;6 Oct 2015
Jenny;6 Oct 2015
Jens;29-mar-15
Jerk;28-aug-15
Jerry;14-jan-15
Jesper;26-jul-15
Jesse;5 May 2015
Jessika;06-jul-15
Jette;29 May 2015
Jill;10-jul-15
Jim;5 Oct 2015
Jimmy;5 Oct 2015
Joakim;20-mar-15
Joanna;21-jan-15
Joar;31-jan-15
Joel;13-jul-15
Joelly;12-jul-15
Johan;27-dec-15
Johanna;21-jul-15
Johannes;27-dec-15
John;3 May 2015
Jolanta;15-jun-15
Joline;05-dec-15
Jon;21-aug-15
Jona;20-dec-15
Jonas;29-mar-15
Jonatan;22-dec-15
Jonathan;22-dec-15
Jonina;13 May 2015
Jonna;21-aug-15
Jonny;12-jun-15
Joppe;17-dec-15
Jordan;31-jul-15
Jorun;13-jul-15
Josef;19-mar-15
Josefin;19-mar-15
Josefina;19-mar-15
Josefine;19-jan-15
Joseph;24-dec-15
Josephine;19-mar-15
Joshua;21-nov-15
Jossi;29-jan-15
Jouko;14-dec-15
Joy;21-feb-15
Judit;13-jul-15
Juhani;24-jun-15
Jul;01-jul-15
Jula;16-feb-15
Julan;16-jan-15
Julana;16-feb-15
Jule;16-jan-15
Julus;16-feb-15
Jun;01-jun-15
Junor;26-sep-15
Justina;02-sep-15
Justus;02-sep-15
Juwser;20-jun-15
Jöns;29-mar-15
Jörgen;09-jul-15
Jörgi;09-jul-15
Kailyn;22-mar-15
Kaj;13-aug-15
Kajsa;02-aug-15
Kajsa-Lena;02-aug-15
Kaleb;20-feb-15
Kali;20-apr-15
Kamel;23-nov-15
Kanya;08-jun-15
Kardo;20 Oct 2015
Karen;02-aug-15
Kari;11-jan-15
Karin;02-aug-15
Karl;28-jan-15
Karla;28-jan-15
Karna;15-apr-15
Karolina;20 May 2015
Karoline;20 May 2015
Kasandra;04-jun-15
Kasper;06-jan-15
Kaspian;22-jun-15
Katalin;25-nov-15
Katarina;25-nov-15
Kathleen;18-jan-15
Katja;25-nov-15
Katrin;25-nov-15
Katrina;25-nov-15
Kawai;25 May 2015
Kay;17-nov-15
Kaysa;23-dec-15
Kazhan;10-mar-15
Kelly;23-jul-15
Kenji;31-mar-15
Kennet;22-mar-15
Kent;22-mar-15
Kerry;7 May 2015
Kerstin;24-jul-15
Kevin;07-sep-15
Khoudia;01-mar-15
Kian;13-jun-15
Kiana;01-mar-15
Kidora;01-jan-15
Killian;30 Oct 2015
Kim;20-mar-15
Kimberly;25-feb-15
Kira;12-mar-15
Kjell;08-jul-15
Klabbe;19-jan-15
Klara;12-aug-15
Klas;07-jul-15
Klemens;23-nov-15
Knut;13-jan-15
Konrad;12-nov-15
Konstantin;21 May 2015
Kornelia;01-apr-15
Kotten;07-apr-15
Kov;19-apr-15
Krister;13-nov-15
Kristian;13-nov-15
Kristin;24-jul-15
Kristina;24-jul-15
Kristoffer;15-mar-15
Krut;19-aug-15
Kurt;12-nov-15
Labolina;17-jan-15
Lage;27-feb-15
Laila;05-jul-15
Laleh;27-sep-15
Lara;28-feb-15
Lars;10-aug-15
Laura;15-jan-15
Laurencia;28 Oct 2015
Lava;04-jan-15
Lavér;01-dec-15
Lavibelle;13-apr-15
Lavida;6 Oct 2015
Lavin;10 Oct 2015
Lavinia;30-apr-15
Layla;05-jul-15
Le;31-aug-15
Lea;26-jun-15
Leah;17-sep-15
Leanne;20-nov-15
Lee;13 May 2015
Leelo;20-aug-15
Legolas;06-apr-15
Lei;12-sep-15
Leif;30-jun-15
Leija;05-mar-15
Leila;28-aug-15
Lejla;03-jul-15
Leksis;12-dec-15
Lena;18-aug-15
Lenita;25-dec-15
Lennart;28-sep-15
Lenore;31-mar-15
Leo;28-jun-15
Leon;15-dec-15
Leona;15-dec-15
Leonard;28-sep-15
Leonell;3 May 2015
Leonen;13-nov-15
Leonita;15-apr-15
Leopold;15-nov-15
Levi;19-aug-15
Levina;15-dec-15
Lexie;17-feb-15
Li;20-jun-15
Li;13-dec-15
Lia;01-jun-15
Liah;28 Oct 2015
Liam;01-sep-15
Lias;12-sep-15
Lilian;06-sep-15
Lilith;05-feb-15
Lilja;29-aug-15
Lillanie;13 May 2015
Lillemor;18-nov-15
Lilly;06-sep-15
Lilou;26-feb-15
Liloz;06-jun-15
Lily;06-sep-15
Limosa;18-jul-15
Lina;20 May 2015
Linda;20-jun-15
Lindis;20 May 2015
Lindsay;06-mar-15
Line;07-sep-15
Linette;1 May 2015
Linn;13 May 2015
Linnea;13 May 2015
Linus;26-nov-15
Lionel;3 May 2015
Liridonna;12-aug-15
Lisa;20-sep-15
Lisbet;19-nov-15
Lise;15-feb-15
Lise-Lotte;7 Oct 2015
Liselott;20-sep-15
Liselotte;7 Oct 2015
Lisen;14 Oct 2015
Liv;12-apr-15
Livar;12-apr-15
Livia;12-apr-15
Lizette;13-dec-15
Ljijana;26 May 2015
Ljuva;09-jul-15
Lo;07-feb-15
Lode;22-aug-15
Loella;25-aug-15
Loke;17-nov-15
Lola;01-aug-15
Looke;17-nov-15
Lorentz;15-jan-15
Lotta;12 May 2015
Louie;23-jun-15
Louis;25-aug-15
Louisa;25-aug-15
Louise;25-aug-15
Lova;25-aug-15
Love;2 Oct 2015
Lovis;19-jan-15
Lovisa;25-aug-15
Luana;24-dec-15
Lucas;18 Oct 2015
Lucia;13-dec-15
Luciné;08-apr-15
Ludde;2 Oct 2015
Ludvig;2 Oct 2015
Luis;2 Oct 2015
Lukas;18 Oct 2015
Luma;25-apr-15
Luu;4 May 2015
Lycka;29-jan-15
Lydia;03-dec-15
Lykke;29-jan-15
Lynx;20-aug-15
Lyudmila;29-sep-15
Madeleine;22-jul-15
Madelen;22-jul-15
Madicken;12-jul-15
Mafalda;14-mar-15
Magdalena;22-jul-15
Magnhild;17-sep-15
Magnus;19-aug-15
Maher;12 May 2015
Mahsa;29-jul-15
May;19 May 2015
Maya;1 May 2015
MayaLi;02-jul-15
Mayken;19 May 2015
Mayvor;08-jun-15
Malak;02-feb-15
Malena;10-dec-15
Malin;10-dec-15
Malkolm;28-mar-15
Malte;28-nov-15
Malva;15-nov-15
Mandy;01-apr-15
Manfred;12 Oct 2015
Manga;04-apr-15
Manijeh;12-nov-15
Manne;13 May 2015
Marcela;15-apr-15
Marcello;10-mar-15
Marcus;25-apr-15
Maren;13-jun-15
Margaret;15-jan-15
Margareta;20-jul-15
Margit;15-jun-15
Margita;15-jun-15
Margot;15-jun-15
Marguerite;12-feb-15
Maria;28-feb-15
Mariam;01-jul-15
Mariana;30-apr-15
Marianne;04-apr-15
Marie;28-feb-15
Marie-Louise;21 Oct 2015
